Geographic Area Name,P_Covid_012221,T_Covid_012221,T_Pop,P_Educated,P_HSDropout,P_Disability,P_NotWhite,P_White,P_Black,P_Hispanic,P_Asian,P_NewMoms,P_Fertility,P_Essential,P_Vacant,P_SFR,P_MFR20+,MedianRooms,MHV,P_Female,P_Children,P_Seniors,P_Renter,P_MortgageStress,P_RentStress,P_HousingStress,P_NoCar,P_Unemployed,P_Transit,P_WorkatHome,MHI,P_Snap,P_PublicIns,P_NoHealthIns,P_Poverty,P_Poverty_Kids,P_Poverty_Seniors,P_FamilywithKids,P_SingleMoms,A_FamSize,P_OtherRel,P_Married,P_Foreign,P_NonEnglish,P_Internet,P_Veterans
Saddle Rock Estates CDP,6.2,36,577,83.9,3.0,8.1,7.1,92.9,0,0,7.1,0,0,17.6,0,100,0,8.3,1150000,42.1,39.3,6.8,0,50.4,0,39.9,0,6.5,46.3,6.9,166389,8.9,21.7,1.6,0,0,0,58.2,18.5,3.83,0,72.5,19.8,18.8,100,2.9
Saddle Rock village,12.5,95,758,61.2,4.7,10.6,10.7,89.3,2.5,0.8,6.5,4.5,24.2,26.7,13.9,100,0,8.4,1369800,52.1,22.2,25.9,7.2,40.2,66.7,22.5,7.6,5.1,19.4,14.4,166875,0,28.6,1.7,3.3,6.6,3.1,27.1,12.8,3.52,4.2,66.6,39.8,53.1,94.9,3.1
Salisbury CDP,6.9,813,11753,45.1,8.7,10.4,33.8,66.2,0.9,17.1,14.6,6.3,16.3,40.8,2.5,96.2,1.8,6.9,451700,53.9,21.7,19.7,8.1,36.5,36.1,24.6,4.6,3.6,14.3,4.8,118774,1.6,27.1,3.8,3.7,3.9,1.6,30,1.4,3.43,8.5,66.8,22.2,33.5,93,4.4
Sands Point village,5.5,158,2857,82.3,5.1,7.1,16.5,83.5,1.8,5.1,8.8,8.4,17.9,15.7,7.4,95.7,0.6,,,50.2,26.5,19.3,7.2,30.3,100,20,2.7,3.6,33.9,10.4,0,1.3,22.1,0.2,1.8,1.9,2.4,39,0.8,3.22,1.6,70.2,15.1,16.7,98.5,3
Sea Cliff village,5.2,261,5051,62.4,3.3,9.6,12.8,87.2,1.4,9.1,0.4,2.2,16.2,26.6,5.1,77.1,0.4,6.4,677400,51.4,20.2,19.4,28.4,43,43.8,30.8,6.1,2.7,15.3,8.1,120590,2.4,22.9,5.2,7.2,3.1,6.9,29.8,3.9,3.06,4.9,61,12.1,21.3,90.3,3
Seaford CDP,8.1,1229,15113,44.8,3.0,8.4,8.1,91.9,0,5.8,2.1,4.3,7,40.8,1.8,93.3,1,7,469700,50.6,21.9,16.8,11.5,27.8,22.8,17.9,3.1,4.4,15.2,3.6,127515,3.1,23.6,1.8,2.8,2.9,6,33,1.6,3.3,3.8,58.9,7.5,8.8,91.9,6
Searingtown CDP,6.0,275,4547,62.3,6.2,8.1,48.5,51.5,1.4,1.2,41.8,3.9,13.2,25.2,8.1,100,0,7.7,846000,52.0,19.9,23.5,1.9,38.2,100,22.1,0.6,4.2,12.7,5.2,153295,1.3,28,4.8,2.9,5.4,0,30.3,2.5,3.43,9.5,69.6,35.1,44.9,89.7,4.6
South Farmingdale CDP,6.9,1027,14953,36.3,4.5,7,21.3,78.7,0.9,13.6,5.1,4.8,12.1,38.8,3.6,96.1,0.1,6.9,408500,50.8,21.9,15.4,7.2,27.9,48.2,19.2,5.6,2.2,14.1,4.1,119429,2.7,22.7,2.5,4.6,7.9,4.3,32.9,1.8,3.47,6.9,60.9,10.2,13.7,88.5,4.9
South Floral Park village,4.8,95,1986,29.6,9.3,7.8,93.2,6.8,51,22.6,16.9,2.6,15.3,45.5,4.3,81.2,1.2,6.2,429400,53.0,22.7,10.4,18.1,37.8,62.8,32.9,6.2,3.9,18.4,3.2,90227,3.7,31.4,6,5.8,11.3,0,32,5.1,4.04,15.3,48.9,38.4,41.6,88.6,2.3
South Hempstead CDP,8.5,266,3123,56.3,2.7,4.8,34.3,65.7,11.2,19,0.7,9.4,1.7,33,1.6,96.2,0,6.7,428700,52.6,24.9,12.6,12.6,38.7,31.6,26.3,0.8,3.6,14.5,3.9,106442,6.9,23.4,4.1,3.2,4.5,8.2,38.1,5,3.29,5.6,64.6,13.5,14.8,95.5,4.2
